統計期,經濟成長率(%)
101年,2.22
101年第3季,2.18
101年第4季,4.48
102年,2.48
102年第1季,1.5
102年第2季,2.68
102年第3季,1.95
102年第4季,3.73
103年,4.72
103年第1季,4.69
103年第2季,4.92
103年第3季,4.9
103年第4季,4.38
104年,1.47
104年第1季,4.8
104年第2季,1.89
104年第3季,-0.28
104年第4季,-0.2
105年,2.17
105年第1季,-0.09
105年第2季,1.69
105年第3季,3
105年第4季,3.92
106年,3.31
106年第1季,3.24
106年第2季,2.64
106年第3季,3.61
106年第4季,3.71
107年,2.79
107年第1季,3.41
107年第2季,3.42
107年第3季,2.29
107年第4季,2.12
108年,3.06
108年第1季,2.05
108年第2季,2.99
108年第3季,3.43
108年第4季,3.7
109年,3.39
109年第1季,2.88
109年第2季,0.62
109年第3季,4.44
109年第4季,5.39
110年,6.53
110年第1季,9.29
110年第2季,7.85
110年第3季,4.14
110年第4季,5.23
111年,2.45
111年第1季,3.87
111年第2季,2.95
111年第3季,3.64
111年第4季,-0.41
,
,
註解：,
1.2022年為初步統計數。,
2.2022Q3為修正數，2022Q4為初步統計數。,